2015 Geography Name;tate;2010 Census Total Population;2010 Census Urban Population;2010 Census Rural Population
Garfield County;Utah;5172;0;5172
Grand County;Utah;9225;6883;2342
Iron County;Utah;46163;35751;10412
Juab County;Utah;10246;5792;4454
Kane County;Utah;7125;3212;3913
Millard County;Utah;12503;3258;9245
Morgan County;Utah;9469;3518;5951
Piute County;Utah;1556;0;1556
Rich County;Utah;2264;0;2264
Salt Lake County;Utah;1029655;1020354;9301
San Juan County;Utah;14746;3264;11482
Sanpete County;Utah;27822;16435;11387
Sevier County;Utah;20802;7340;13462
Summit County;Utah;36324;22085;14239
Tooele County;Utah;58218;47913;10305
Uintah County;Utah;32588;17321;15267
Utah County;Utah;516564;499378;17186
Wasatch County;Utah;23530;17212;6318
Washington County;Utah;138115;117103;21012
Wayne County;Utah;2778;0;2778
Weber County;Utah;231236;217822;13414
Addison County;Vermont;36821;7942;28879
Bennington County;Vermont;37125;13175;23950
Caledonia County;Vermont;31227;7997;23230
Chittenden County;Vermont;156545;115865;40680
Essex County;Vermont;6306;0;6306
Franklin County;Vermont;47746;13505;34241
Grand Isle County;Vermont;6970;0;6970
Lamoille County;Vermont;24475;0;24475
Orange County;Vermont;28936;799;28137
Orleans County;Vermont;27231;4004;23227
Rutland County;Vermont;61642;24032;37610
Washington County;Vermont;59534;28097;31437
Windham County;Vermont;44513;14135;30378
Windsor County;Vermont;56670;13834;42836
Accomack County;Virginia;33164;0;33164
Albemarle County;Virginia;99010;54411;44559
Alleghany County;Virginia;16250;7736;8514
Amelia County;Virginia;12690;0;12690
Amherst County;Virginia;32353;11756;20597
Appomattox County;Virginia;14973;0;14973
Arlington County;Virginia;207627;207627;0
Augusta County;Virginia;73750;24752;48998
Bath County;Virginia;4731;0;4731
Bedford City;Virginia;68676;14812;53864
Bland County;Virginia;6824;0;6824
Botetourt County;Virginia;33148;11901;21247
Brunswick County;Virginia;17434;4270;13164
Buchanan County;Virginia;24098;0;24098
Buckingham County;Virginia;17146;0;17146
Campbell County;Virginia;54842;21326;33516
Caroline County;Virginia;28545;6165;22380
Carroll County;Virginia;30042;858;29184
Charles City County;Virginia;7256;0;7256
Charlotte County;Virginia;12586;0;12586
Chesterfield County;Virginia;316236;297487;18749
Clarke County;Virginia;14034;4277;9757
Craig County;Virginia;5190;0;5190
Culpeper County;Virginia;46689;17778;28911
Cumberland County;Virginia;10052;402;9650
Dickenson County;Virginia;15903;0;15903
Dinwiddie County;Virginia;28001;8062;19939
Essex County;Virginia;11151;2534;8617
Fairfax County;Virginia;1081699;1066647;15079
Fauquier County;Virginia;65203;27714;37489
Floyd County;Virginia;15279;0;15279
Fluvanna County;Virginia;25691;9528;16163
Franklin County;Virginia;56159;6048;50111
Frederick County;Virginia;78305;43246;35059
Giles County;Virginia;17286;5828;11458
Gloucester County;Virginia;36858;13038;23820
Goochland County;Virginia;21717;653;21064
Grayson County;Virginia;15533;19;15514
Greene County;Virginia;18403;8973;9430
Greensville County;Virginia;12243;1590;10653
Halifax County;Virginia;36241;8306;27935
Hanover County;Virginia;99863;60831;39032
Henrico County;Virginia;306935;293832;13103
Henry County;Virginia;54151;21270;32881
Highland County;Virginia;2321;0;2321
Isle of Wight County;Virginia;35270;15030;20240
James City County;Virginia;67009;56387;10622
King and Queen County;Virginia;6945;0;6945
King George County;Virginia;23584;6323;17261
King William County;Virginia;15935;2675;13260
Lancaster County;Virginia;11391;0;11391
Lee County;Virginia;25587;112;25475
Loudoun County;Virginia;312311;272957;39354
Louisa County;Virginia;33153;0;33153
Lunenburg County;Virginia;12914;0;12914
Madison County;Virginia;13308;0;13308
Mathews County;Virginia;8978;0;8978
Mecklenburg County;Virginia;32727;7262;25465
Middlesex County;Virginia;10959;0;10959
Montgomery County;Virginia;94392;70864;23528
Nelson County;Virginia;15020;0;15020
New Kent County;Virginia;18429;0;18429
Northampton County;Virginia;12389;0;12389
Northumberland County;Virginia;12330;0;12330
Nottoway County;Virginia;15853;7555;8298
Orange County;Virginia;33481;14136;19345
Page County;Virginia;24042;4770;19272
Patrick County;Virginia;18490;0;18490
Pittsylvania County;Virginia;63506;9126;54380
Powhatan County;Virginia;28046;91;27955
Prince Edward County;Virginia;23368;8597;14771
Prince George County;Virginia;35725;16647;19078
Prince William County;Virginia;402002;385254;16748
Pulaski County;Virginia;34872;18516;16356
Rappahannock County;Virginia;7373;0;7373
Richmond County;Virginia;9254;0;9254
Roanoke County;Virginia;92376;75249;17127
Rockbridge County;Virginia;22307;1865;20442
Rockingham County;Virginia;76314;31035;45279
Russell County;Virginia;28897;3414;25483
Scott County;Virginia;23177;4143;19034
Shenandoah County;Virginia;41993;14032;27961
Smyth County;Virginia;32208;7960;24248
Southampton County;Virginia;18570;378;18192
Spotsylvania County;Virginia;122397;82829;39568
Stafford County;Virginia;128961;103485;25476
Surry County;Virginia;7058;0;7058
Sussex County;Virginia;12087;0;12087
Tazewell County;Virginia;45078;21688;23390
Warren County;Virginia;37575;18634;18941
Washington County;Virginia;54876;15543;39333
Westmoreland County;Virginia;17454;3693;13761
Wise County;Virginia;41452;17961;23491
Wythe County;Virginia;29235;7212;22023
York County;Virginia;65187;61471;3993
Alexandria City;Virginia;139993;139966;0
Anchorage;Virginia;17835;17828;7
Buena Vista City;Virginia;6650;6391;259
Charlottesville City;Virginia;43435;43475;0
Chesapeake City;Virginia;222209;205261;16948
Colonial Heights City;Virginia;17411;17411;0
Covington City;Virginia;5961;5961;0
Danville City;Virginia;43055;41111;1944
Emporia City;Virginia;5927;5553;374
Fairfax City;Virginia;22565;22565;0
Falls Church City;Virginia;12332;12332;0
Franklin City;Virginia;8582;8303;279
Fredericksburg City;Virginia;24286;24003;283
Galax City;Virginia;7042;6076;966
Hampton City;Virginia;137467;137094;342
Harrisonburg City;Virginia;48914;48914;0
Hopewell City;Virginia;22591;22591;0
Lexington City;Virginia;7042;7042;0
Lynchburg City;Virginia;75568;73534;2034
Manassas City;Virginia;37821;37821;0
Manassas Park City;Virginia;14273;14273;0
Martinsville City;Virginia;13821;13821;0
Newport News City;Virginia;180966;180668;51
Norfolk City;Virginia;242803;242803;0
Norton City;Virginia;3958;3856;102
Petersburg City;Virginia;32420;31737;683
Poquoson City;Virginia;12150;11360;790
Portsmouth City;Virginia;95535;95535;0
Radford City;Virginia;16408;15927;481
Richmond City;Virginia;204214;204214;0
Roanoke City;Virginia;97032;97026;6
Salem City;Virginia;24802;24802;0
Staunton City;Virginia;23746;22869;877
Suffolk City;Virginia;84585;66287;18298
Virginia Beach City;Virginia;437994;431273;6721
Waynesboro City;Virginia;21006;20475;531
Williamsburg City;Virginia;14067;14068;0
Winchester City;Virginia;26203;26203;0
Adams County;Washington;18728;11207;7521
Asotin County;Washington;21623;20184;1439
Benton County;Washington;175177;156659;18518
Chelan County;Washington;72453;52728;19725
Clallam County;Washington;71404;46089;25315
Clark County;Washington;425363;366797;58566
Columbia County;Washington;4078;2681;1397
Cowlitz County;Washington;102410;73068;29342
Douglas County;Washington;38431;28210;10221
Ferry County;Washington;7551;0;7551
Franklin County;Washington;78163;67741;10422
Garfield County;Washington;2266;0;2266
Grant County;Washington;89120;54587;34533
Grays Harbor County;Washington;72797;43596;29201
Island County;Washington;78506;41690;36816
Jefferson County;Washington;29872;12705;17167
King County;Washington;1931249;1869311;61938
Kitsap County;Washington;251133;209089;42044
Kittitas County;Washington;40915;24526;16389
Klickitat County;Washington;20318;8084;12234
Lewis County;Washington;75455;29688;45767
Lincoln County;Washington;10570;0;10570
Mason County;Washington;60699;22036;38663
Okanogan County;Washington;41120;8229;32891
Pacific County;Washington;20920;7370;13550
Pend Oreille County;Washington;13001;2196;10805
Pierce County;Washington;795225;742814;52411
San Juan County;Washington;15769;0;15769
Skagit County;Washington;116901;82975;33926
Skamania County;Washington;11066;0;11066
Snohomish County;Washington;713335;636156;77179
Spokane County;Washington;471221;406797;64424
Stevens County;Washington;43531;9052;34479
Thurston County;Washington;252264;199317;52947
Wahkiakum County;Washington;3978;0;3978
Walla Walla County;Washington;58781;48715;10066
Whatcom County;Washington;201140;149098;52042
Whitman County;Washington;44776;32449;12327
Yakima County;Washington;243231;186025;57206
Barbour County;West Virginia;16589;2700;13889
Berkeley County;West Virginia;104169;71225;32944
Boone County;West Virginia;24629;4579;20050
Braxton County;West Virginia;14523;0;14523
Brooke County;West Virginia;24069;13929;10140
Cabell County;West Virginia;96319;75554;20765
Calhoun County;West Virginia;7627;0;7627
Clay County;West Virginia;9386;0;9386
Doddridge County;West Virginia;8202;0;8202
Fayette County;West Virginia;46039;19395;26644
Gilmer County;West Virginia;8693;3415;5278
Grant County;West Virginia;11937;2545;9392
Greenbrier County;West Virginia;35480;10738;24742
Hampshire County;West Virginia;23964;0;23964
Hancock County;West Virginia;30676;21378;9298
Hardy County;West Virginia;14025;2732;11293
Harrison County;West Virginia;69099;43498;25601
Jackson County;West Virginia;29211;8343;20868
Jefferson County;West Virginia;53498;27619;25879
Kanawha County;West Virginia;193063;144434;48629
Lewis County;West Virginia;16372;5077;11295
Lincoln County;West Virginia;21720;0;21720
Logan County;West Virginia;36743;10747;25996
McDowell County;West Virginia;22113;3098;19015
Marion County;West Virginia;56418;33014;23404
Marshall County;West Virginia;33107;16887;16220
Mason County;West Virginia;27324;9561;17763
Mercer County;West Virginia;62264;36903;25361
Mineral County;West Virginia;28212;9989;18223
Mingo County;West Virginia;26839;2754;24085
Monongalia County;West Virginia;96189;70350;25839
Monroe County;West Virginia;13502;1550;11952
Morgan County;West Virginia;17541;0;17541
Nicholas County;West Virginia;26233;3369;22864
Ohio County;West Virginia;44443;34180;10263
Pendleton County;West Virginia;7695;0;7695
Pleasants County;West Virginia;7605;3463;4142
Pocahontas County;West Virginia;8719;0;8719
Preston County;West Virginia;33520;3201;30319
Putnam County;West Virginia;55486;35631;19855
Raleigh County;West Virginia;78859;47900;30959
Randolph County;West Virginia;29405;11061;18344
Ritchie County;West Virginia;10449;0;10449
Roane County;West Virginia;14926;2986;11940
Summers County;West Virginia;13927;3882;10045
Taylor County;West Virginia;16895;6808;10087
Tucker County;West Virginia;7141;0;7141
Tyler County;West Virginia;9208;824;8384
Upshur County;West Virginia;24254;8731;15523
Wayne County;West Virginia;42481;14789;27692
Webster County;West Virginia;9154;0;9154
Wetzel County;West Virginia;16583;7652;8931
Wirt County;West Virginia;5717;0;5717
Wood County;West Virginia;86956;63674;23282
Wyoming County;West Virginia;23796;2645;21151
Adams County;Wisconsin;20875;0;20875
Ashland County;Wisconsin;16157;7293;8864
Barron County;Wisconsin;45870;15629;30241
Bayfield County;Wisconsin;15014;0;15014
Brown County;Wisconsin;248007;212060;35947
Buffalo County;Wisconsin;13587;0;13587
Burnett County;Wisconsin;15457;0;15457
Calumet County;Wisconsin;48971;35487;13484
Chippewa County;Wisconsin;62415;33615;28800
Clark County;Wisconsin;34690;2869;31821
Columbia County;Wisconsin;56833;22352;34481
Crawford County;Wisconsin;16644;6255;10389
Dane County;Wisconsin;488073;427894;60179
Dodge County;Wisconsin;88759;45585;43174
Door County;Wisconsin;27785;8617;19168
Douglas County;Wisconsin;44159;27045;17114
Dunn County;Wisconsin;43857;17844;26013
Eau Claire County;Wisconsin;98736;76026;22710
Florence County;Wisconsin;4423;0;4423
Fond du Lac County;Wisconsin;101633;65930;35703
Forest County;Wisconsin;9304;0;9304
Grant County;Wisconsin;51208;18185;33023
Green County;Wisconsin;36842;14657;22185
Green Lake County;Wisconsin;19051;4891;14160
Iowa County;Wisconsin;23687;4756;18931
Iron County;Wisconsin;5916;1905;4011
Jackson County;Wisconsin;20449;5677;14772
Jefferson County;Wisconsin;83686;55190;28496
Juneau County;Wisconsin;26664;4401;22263
Kenosha County;Wisconsin;166426;148580;17846
Kewaunee County;Wisconsin;20574;5692;14882
La Crosse County;Wisconsin;114638;95347;19291
Lafayette County;Wisconsin;16836;0;16836
Langlade County;Wisconsin;19977;8158;11819
Lincoln County;Wisconsin;28743;13208;15535
Manitowoc County;Wisconsin;81442;49792;31650
Marathon County;Wisconsin;134063;76429;57634
Marinette County;Wisconsin;41749;15936;25813
Marquette County;Wisconsin;15404;0;15404
Menominee County;Wisconsin;4232;0;4232
Milwaukee County;Wisconsin;947735;945915;1820
Monroe County;Wisconsin;44673;18909;25764
Oconto County;Wisconsin;37660;7026;30634
Oneida County;Wisconsin;35998;9010;26988
Outagamie County;Wisconsin;176695;132983;43712
Ozaukee County;Wisconsin;86395;64894;21501
Pepin County;Wisconsin;7469;0;7469
Pierce County;Wisconsin;41019;19013;22006
Polk County;Wisconsin;44205;6425;37780
Portage County;Wisconsin;70019;44790;25229
Price County;Wisconsin;14159;0;14159
Racine County;Wisconsin;195408;171416;23992
Richland County;Wisconsin;18021;5021;13000
Rock County;Wisconsin;160331;127597;32734
Rusk County;Wisconsin;14755;3449;11306
Saint Croix County;Wisconsin;84345;39500;44845
Sauk County;Wisconsin;61976;33376;28600
Sawyer County;Wisconsin;16557;2616;13941
Shawano County;Wisconsin;41949;10742;31207
Sheboygan County;Wisconsin;115507;82836;32671
Taylor County;Wisconsin;20689;4046;16643
Trempealeau County;Wisconsin;28816;2993;25823
Vernon County;Wisconsin;29773;4260;25513
Vilas County;Wisconsin;21430;0;21430
Walworth County;Wisconsin;102228;67269;34959
Washburn County;Wisconsin;15911;2673;13238
Washington County;Wisconsin;131887;91286;40601
Waukesha County;Wisconsin;389891;351446;38445
Waupaca County;Wisconsin;52410;18375;34035
Waushara County;Wisconsin;24496;2573;21923
Winnebago County;Wisconsin;166994;144565;22429
Wood County;Wisconsin;74749;47329;27420
Albany County;Wyoming;36299;31965;4334
Big Horn County;Wyoming;11668;0;11668
Campbell County;Wyoming;46133;32721;13412
Carbon County;Wyoming;15885;9272;6613
Converse County;Wyoming;13833;6175;7658
Crook County;Wyoming;7083;0;7083
Fremont County;Wyoming;40123;19490;20633
Goshen County;Wyoming;13249;7155;6094
Hot Springs County;Wyoming;4812;3297;1515
Johnson County;Wyoming;8569;4368;4201
Laramie County;Wyoming;91738;73588;18150
Lincoln County;Wyoming;18106;3127;14979
Natrona County;Wyoming;75450;64548;10902
Niobrara County;Wyoming;2484;0;2484
Park County;Wyoming;28205;15727;12478
Platte County;Wyoming;8667;3584;5083
Sheridan County;Wyoming;29116;18786;10330
Sublette County;Wyoming;10247;0;10247
Sweetwater County;Wyoming;43806;39024;4782
Teton County;Wyoming;21294;11407;9887
Uinta County;Wyoming;21118;12017;9101
Washakie County;Wyoming;8533;5465;3068
Weston County;Wyoming;7208;3277;3931
